,net_name,train_type,net_number,stimulus,target_condition,set_size,accuracy
0,alexnet,train_finetune_data,0,2_v_5,present,1,0.99
1,alexnet,train_finetune_data,0,2_v_5,present,2,0.77
2,alexnet,train_finetune_data,0,2_v_5,present,4,0.49
3,alexnet,train_finetune_data,0,2_v_5,present,8,0.37
4,alexnet,train_finetune_data,0,2_v_5,absent,1,0.98
5,alexnet,train_finetune_data,0,2_v_5,absent,2,0.8
6,alexnet,train_finetune_data,0,2_v_5,absent,4,0.7
7,alexnet,train_finetune_data,0,2_v_5,absent,8,0.69
8,alexnet,train_finetune_data,1,2_v_5,present,1,0.91
9,alexnet,train_finetune_data,1,2_v_5,present,2,0.71
10,alexnet,train_finetune_data,1,2_v_5,present,4,0.52
11,alexnet,train_finetune_data,1,2_v_5,present,8,0.36
12,alexnet,train_finetune_data,1,2_v_5,absent,1,0.65
13,alexnet,train_finetune_data,1,2_v_5,absent,2,0.48
14,alexnet,train_finetune_data,1,2_v_5,absent,4,0.51
15,alexnet,train_finetune_data,1,2_v_5,absent,8,0.68
16,alexnet,train_finetune_data,2,2_v_5,present,1,1.0
17,alexnet,train_finetune_data,2,2_v_5,present,2,0.81
18,alexnet,train_finetune_data,2,2_v_5,present,4,0.58
19,alexnet,train_finetune_data,2,2_v_5,present,8,0.56
20,alexnet,train_finetune_data,2,2_v_5,absent,1,0.91
21,alexnet,train_finetune_data,2,2_v_5,absent,2,0.7
22,alexnet,train_finetune_data,2,2_v_5,absent,4,0.58
23,alexnet,train_finetune_data,2,2_v_5,absent,8,0.39
24,alexnet,train_finetune_data,3,2_v_5,present,1,0.91
25,alexnet,train_finetune_data,3,2_v_5,present,2,0.66
26,alexnet,train_finetune_data,3,2_v_5,present,4,0.4
27,alexnet,train_finetune_data,3,2_v_5,present,8,0.4
28,alexnet,train_finetune_data,3,2_v_5,absent,1,0.99
29,alexnet,train_finetune_data,3,2_v_5,absent,2,0.85
30,alexnet,train_finetune_data,3,2_v_5,absent,4,0.61
31,alexnet,train_finetune_data,3,2_v_5,absent,8,0.63
32,alexnet,train_finetune_data,0,RVvGV,present,1,1.0
33,alexnet,train_finetune_data,0,RVvGV,present,2,0.99
34,alexnet,train_finetune_data,0,RVvGV,present,4,0.98
35,alexnet,train_finetune_data,0,RVvGV,present,8,0.8
36,alexnet,train_finetune_data,0,RVvGV,absent,1,1.0
37,alexnet,train_finetune_data,0,RVvGV,absent,2,1.0
38,alexnet,train_finetune_data,0,RVvGV,absent,4,1.0
39,alexnet,train_finetune_data,0,RVvGV,absent,8,0.99
40,alexnet,train_finetune_data,1,RVvGV,present,1,1.0
41,alexnet,train_finetune_data,1,RVvGV,present,2,1.0
42,alexnet,train_finetune_data,1,RVvGV,present,4,0.98
43,alexnet,train_finetune_data,1,RVvGV,present,8,0.91
44,alexnet,train_finetune_data,1,RVvGV,absent,1,1.0
45,alexnet,train_finetune_data,1,RVvGV,absent,2,1.0
46,alexnet,train_finetune_data,1,RVvGV,absent,4,1.0
47,alexnet,train_finetune_data,1,RVvGV,absent,8,1.0
48,alexnet,train_finetune_data,2,RVvGV,present,1,1.0
49,alexnet,train_finetune_data,2,RVvGV,present,2,1.0
50,alexnet,train_finetune_data,2,RVvGV,present,4,0.99
51,alexnet,train_finetune_data,2,RVvGV,present,8,0.92
52,alexnet,train_finetune_data,2,RVvGV,absent,1,1.0
53,alexnet,train_finetune_data,2,RVvGV,absent,2,1.0
54,alexnet,train_finetune_data,2,RVvGV,absent,4,1.0
55,alexnet,train_finetune_data,2,RVvGV,absent,8,0.97
56,alexnet,train_finetune_data,3,RVvGV,present,1,1.0
57,alexnet,train_finetune_data,3,RVvGV,present,2,1.0
58,alexnet,train_finetune_data,3,RVvGV,present,4,1.0
59,alexnet,train_finetune_data,3,RVvGV,present,8,0.98
60,alexnet,train_finetune_data,3,RVvGV,absent,1,1.0
61,alexnet,train_finetune_data,3,RVvGV,absent,2,1.0
62,alexnet,train_finetune_data,3,RVvGV,absent,4,1.0
63,alexnet,train_finetune_data,3,RVvGV,absent,8,0.96
64,alexnet,train_finetune_data,0,RVvRHGV,present,1,1.0
65,alexnet,train_finetune_data,0,RVvRHGV,present,2,1.0
66,alexnet,train_finetune_data,0,RVvRHGV,present,4,0.97
67,alexnet,train_finetune_data,0,RVvRHGV,present,8,0.89
68,alexnet,train_finetune_data,0,RVvRHGV,absent,1,1.0
69,alexnet,train_finetune_data,0,RVvRHGV,absent,2,1.0
70,alexnet,train_finetune_data,0,RVvRHGV,absent,4,1.0
71,alexnet,train_finetune_data,0,RVvRHGV,absent,8,0.95
72,alexnet,train_finetune_data,1,RVvRHGV,present,1,1.0
73,alexnet,train_finetune_data,1,RVvRHGV,present,2,1.0
74,alexnet,train_finetune_data,1,RVvRHGV,present,4,0.99
75,alexnet,train_finetune_data,1,RVvRHGV,present,8,0.86
76,alexnet,train_finetune_data,1,RVvRHGV,absent,1,1.0
77,alexnet,train_finetune_data,1,RVvRHGV,absent,2,1.0
78,alexnet,train_finetune_data,1,RVvRHGV,absent,4,1.0
79,alexnet,train_finetune_data,1,RVvRHGV,absent,8,0.95
80,alexnet,train_finetune_data,2,RVvRHGV,present,1,1.0
81,alexnet,train_finetune_data,2,RVvRHGV,present,2,1.0
82,alexnet,train_finetune_data,2,RVvRHGV,present,4,0.97
83,alexnet,train_finetune_data,2,RVvRHGV,present,8,0.92
84,alexnet,train_finetune_data,2,RVvRHGV,absent,1,1.0
85,alexnet,train_finetune_data,2,RVvRHGV,absent,2,1.0
86,alexnet,train_finetune_data,2,RVvRHGV,absent,4,1.0
87,alexnet,train_finetune_data,2,RVvRHGV,absent,8,0.97
88,alexnet,train_finetune_data,3,RVvRHGV,present,1,1.0
89,alexnet,train_finetune_data,3,RVvRHGV,present,2,1.0
90,alexnet,train_finetune_data,3,RVvRHGV,present,4,0.96
91,alexnet,train_finetune_data,3,RVvRHGV,present,8,0.89
92,alexnet,train_finetune_data,3,RVvRHGV,absent,1,1.0
93,alexnet,train_finetune_data,3,RVvRHGV,absent,2,1.0
94,alexnet,train_finetune_data,3,RVvRHGV,absent,4,0.99
95,alexnet,train_finetune_data,3,RVvRHGV,absent,8,0.97
